id_registro,valor_registro,data_registro,fk_modelo_componente
1,4,"2023-10-10 13:06:54",1
2,8,"2023-10-10 13:06:54",1
3,94349.3125,"2023-10-10 13:06:54",1
4,67244.31250000047,"2023-10-10 13:06:54",1
5,3997401.3749999995,"2023-10-10 13:06:54",1
6,5,"2023-10-10 13:06:54",1
7,0,"2023-10-10 13:06:54",1
8,2419,"2023-10-10 13:06:54",1
9,0,"2023-10-10 13:06:54",1
10,2419,"2023-10-10 13:06:54",1
11,511.42,"2023-10-10 13:06:54",7
12,395.17,"2023-10-10 13:06:54",7
13,116.25,"2023-10-10 13:06:54",7
14,22.7,"2023-10-10 13:06:54",7
15,8.32022528,"2023-10-10 13:06:54",4
16,2.3284531200000003,"2023-10-10 13:06:54",4
17,5.99177216,"2023-10-10 13:06:54",4
18,2.3284531200000003,"2023-10-10 13:06:54",4
19,72,"2023-10-10 13:06:54",4
20,4,"2023-10-10 13:06:56",1
21,8,"2023-10-10 13:06:56",1
22,94349.921875,"2023-10-10 13:06:56",1
23,67244.96875000047,"2023-10-10 13:06:56",1
24,3997416.8593749995,"2023-10-10 13:06:56",1
25,4,"2023-10-10 13:06:56",1
26,0,"2023-10-10 13:06:56",1
27,2419,"2023-10-10 13:06:56",1
28,0,"2023-10-10 13:06:56",1
29,2419,"2023-10-10 13:06:56",1
30,511.42,"2023-10-10 13:06:56",7
31,395.17,"2023-10-10 13:06:56",7
32,116.25,"2023-10-10 13:06:56",7
33,22.7,"2023-10-10 13:06:56",7
34,8.32022528,"2023-10-10 13:06:56",4
35,2.361950208,"2023-10-10 13:06:56",4
36,5.958275072,"2023-10-10 13:06:56",4
37,2.361950208,"2023-10-10 13:06:56",4
38,71.6,"2023-10-10 13:06:56",4
39,4,"2023-10-10 13:06:58",1
40,8,"2023-10-10 13:06:58",1
41,94350.28125,"2023-10-10 13:06:58",1
42,67245.26562500047,"2023-10-10 13:06:58",1
43,3997433.0781249995,"2023-10-10 13:06:58",1
44,0,"2023-10-10 13:06:58",1
45,0,"2023-10-10 13:06:58",1
46,2419,"2023-10-10 13:06:58",1
47,0,"2023-10-10 13:06:58",1
48,2419,"2023-10-10 13:06:58",1
49,511.42,"2023-10-10 13:06:58",7
50,395.17,"2023-10-10 13:06:58",7
51,116.25,"2023-10-10 13:06:58",7
52,22.7,"2023-10-10 13:06:58",7
53,8.32022528,"2023-10-10 13:06:58",4
54,2.368241664,"2023-10-10 13:06:58",4
55,5.951983616000001,"2023-10-10 13:06:58",4
56,2.368241664,"2023-10-10 13:06:58",4
57,71.5,"2023-10-10 13:06:58",4
58,4,"2023-10-10 13:07:00",1
59,8,"2023-10-10 13:07:00",1
60,94351.640625,"2023-10-10 13:07:00",1
61,67246.78125000047,"2023-10-10 13:07:00",1
62,3997446.9531249995,"2023-10-10 13:07:00",1
63,5,"2023-10-10 13:07:00",1
64,0,"2023-10-10 13:07:00",1
65,2419,"2023-10-10 13:07:00",1
66,0,"2023-10-10 13:07:00",1
67,2419,"2023-10-10 13:07:00",1
68,511.42,"2023-10-10 13:07:00",7
69,395.17,"2023-10-10 13:07:00",7
70,116.25,"2023-10-10 13:07:00",7
71,22.7,"2023-10-10 13:07:00",7
72,8.32022528,"2023-10-10 13:07:00",4
73,2.365313024,"2023-10-10 13:07:00",4
74,5.954912256,"2023-10-10 13:07:00",4
75,2.365313024,"2023-10-10 13:07:00",4
76,71.6,"2023-10-10 13:07:00",4
77,4,"2023-10-10 13:07:02",1
78,8,"2023-10-10 13:07:02",1
79,94352.40625,"2023-10-10 13:07:02",1
80,67248.07812500047,"2023-10-10 13:07:02",1
81,3997461.5156249995,"2023-10-10 13:07:02",1
82,3,"2023-10-10 13:07:02",1
83,0,"2023-10-10 13:07:02",1
84,2419,"2023-10-10 13:07:02",1
85,0,"2023-10-10 13:07:02",1
86,2419,"2023-10-10 13:07:02",1
87,511.42,"2023-10-10 13:07:02",7
88,395.17,"2023-10-10 13:07:02",7
89,116.25,"2023-10-10 13:07:02",7
90,22.7,"2023-10-10 13:07:02",7
91,8.32022528,"2023-10-10 13:07:02",4
92,2.385502208,"2023-10-10 13:07:02",4
93,5.934723072000001,"2023-10-10 13:07:02",4
94,2.385502208,"2023-10-10 13:07:02",4
95,71.3,"2023-10-10 13:07:02",4
96,4,"2023-10-10 13:07:05",1
97,8,"2023-10-10 13:07:05",1
98,94356.078125,"2023-10-10 13:07:05",1
99,67251.56250000047,"2023-10-10 13:07:05",1
100,3997471.2343749995,"2023-10-10 13:07:05",1
101,32,"2023-10-10 13:07:05",1
102,0,"2023-10-10 13:07:05",1
103,1411,"2023-10-10 13:07:05",1
104,0,"2023-10-10 13:07:05",1
105,2419,"2023-10-10 13:07:05",1
106,511.42,"2023-10-10 13:07:05",7
107,395.18,"2023-10-10 13:07:05",7
108,116.24,"2023-10-10 13:07:05",7
109,22.7,"2023-10-10 13:07:05",7
110,8.32022528,"2023-10-10 13:07:06",4
111,2.96067072,"2023-10-10 13:07:06",4
112,5.35955456,"2023-10-10 13:07:06",4
113,2.96067072,"2023-10-10 13:07:06",4
114,64.4,"2023-10-10 13:07:06",4
115,4,"2023-10-10 13:07:08",1
116,8,"2023-10-10 13:07:08",1
117,94358.125,"2023-10-10 13:07:08",1
118,67253.26562500047,"2023-10-10 13:07:08",1
119,3997493.3281249995,"2023-10-10 13:07:08",1
120,9,"2023-10-10 13:07:08",1
121,0,"2023-10-10 13:07:08",1
122,2419,"2023-10-10 13:07:08",1
123,0,"2023-10-10 13:07:08",1
124,2419,"2023-10-10 13:07:08",1
125,511.42,"2023-10-10 13:07:08",7
126,395.18,"2023-10-10 13:07:08",7
127,116.24,"2023-10-10 13:07:08",7
128,22.7,"2023-10-10 13:07:08",7
129,8.32022528,"2023-10-10 13:07:08",4
130,2.9994762240000004,"2023-10-10 13:07:08",4
131,5.320749056,"2023-10-10 13:07:08",4
132,2.9994762240000004,"2023-10-10 13:07:08",4
133,63.9,"2023-10-10 13:07:08",4
134,4,"2023-10-10 13:07:10",1
135,8,"2023-10-10 13:07:10",1
136,94359.09375,"2023-10-10 13:07:10",1
137,67253.78125,"2023-10-10 13:07:10",1
138,3997511.4999999995,"2023-10-10 13:07:10",1
139,3,"2023-10-10 13:07:10",1
140,0,"2023-10-10 13:07:10",1
141,2419,"2023-10-10 13:07:10",1
142,0,"2023-10-10 13:07:10",1
143,2419,"2023-10-10 13:07:10",1
144,511.42,"2023-10-10 13:07:10",7
145,395.18,"2023-10-10 13:07:10",7
146,116.24,"2023-10-10 13:07:10",7
147,22.7,"2023-10-10 13:07:10",7
148,8.32022528,"2023-10-10 13:07:11",4
149,3.002949632,"2023-10-10 13:07:11",4
150,5.317275648000001,"2023-10-10 13:07:11",4
151,3.002949632,"2023-10-10 13:07:11",4
152,63.9,"2023-10-10 13:07:11",4
153,4,"2023-10-10 13:07:13",1
154,8,"2023-10-10 13:07:13",1
155,94359.671875,"2023-10-10 13:07:13",1
156,67254.296875,"2023-10-10 13:07:13",1
157,3997530.0312499995,"2023-10-10 13:07:13",1
158,2,"2023-10-10 13:07:13",1
159,0,"2023-10-10 13:07:13",1
